sample_date,wwtp,dilution,filt_protocol,replicate,target,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),IBV-M_PositiveDroplets,IBV-M_PosCtrl-PosDrops,IBV-M_NTCtrl-PosDrops,IBV-M_(gc/rxn),IAV-M_PositiveDroplets,IAV-M_PosCtrl-PosDrops,IAV-M_NTCtrl-PosDrops,IAV-M_(gc/rxn),SARS-N2_PositiveDroplets,SARS-N2_PosCtrl-PosDrops,SARS-N2_NTCtrl-PosDrops,SARS-N2_(gc/rxn),RSV_PositiveDroplets,RSV_PosCtrl-PosDrops,RSV_NTCtrl-PosDrops,RSV_(gc/rxn),SARS-N1_(gc/eluate),IBV-M_(gc/eluate),IAV-M_(gc/eluate),SARS-N2_(gc/eluate),RSV_(gc/eluate),cases_(#/day/1e5-ppl),flowrate_(kL/day),Population,IAV-M_normLoad-(gc/d/1e5),IBV-M_normLoad-(gc/d/1e5),RSV_normLoad-(gc/d/1e5),IAV-M_normLoad-range,IBV-M_normLoad-range,RSV_normLoad-range
2021-12-13,STEP Aire,3.0,v4.0,A,respv4,25015.0,,,,,0.5,2580.0,0.0,0.9643747992242676,1.0,1453.0,0.0,1.9226293951323958,273.5,793.0,0.0,529.531869620025,6.0,1092.0,0.0,11.552134646406309,,46.28999036276485,92.286210966355,25417.529741761195,554.5024630275028,83.83219910529891,163152.0,454000,82911232883.16493,41587579888.027596,498172829558.7178,82911232883.16493,41587579888.027596,82263722642.8479
2021-12-14,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7025118125,24737.68748474121,64000,,,,,,
2021-12-14,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.984962054545456,12979.0,55000,,,,,,
2021-12-14,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.7823750967742,19235.0,62000,,,,,,
2021-12-14,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.97375511677282,167371.4057333331,471000,,,,,,
2021-12-14,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.71872109677419,43841.0,124000,,,,,,
2021-12-14,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56383918179787,160760.0,454000,,,,,,
2021-12-15,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3589865,23009.68656921387,64000,,,,,,
2021-12-15,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.99959065454546,12392.0,55000,,,,,,
2021-12-15,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.85837635483871,18653.0,62000,,,,,,
2021-12-15,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89100003821656,164866.85993333347,471000,,,,,,
2021-12-15,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.31205727419355,43854.0,124000,,,,,,
